Date,Stock,Qty,UnitPrice,Amt,Type,Notes
2014-11-28,HPCL,50,600,,SOLD,
2014-11-28,BHEL,40,284,,SOLD,
2014-11-27,HUL,10,785,,SOLD,
2014-11-24,HPCL,50,527.9,,X,
2014-11-24,ALOK,2500,11.15,,X,
2014-11-19,EICHER,2,14580,,SOLD,
2014-10-30,ONGC,50,395.3,,,
2014-10-29,SBI,200,262.5,,SOLD,S1:10
2014-10-29,EICHER,2,12450,,SOLD,
2014-10-22,HUL,15,755,,SOLD,
2014-10-22,LIC,100,339,,SOLD,
2014-10-20,HPCL,100,525,,SOLD,
2014-10-17,TATA MOTORS,30,479.35,,,
2014-10-17,TCS,25,2479.5,,~10,
2014-10-17,CENTURY,60,505.93,,,
2014-10-17,ALOK,1500,11.4,,X,
2014-09-05,NTPC,,,485,DIV,
2014-10-04,BHEL,,,61,DIV,
2014-09-29,IDEA,,,120,DIV,
2014-09-27,ONGC,,,28,DIV,
2014-09-05,HPCL,,,2325,DIV,
2014-09-05,VOLTAS,,,277.5,DIV,
2014-08-24,LIC,,,1125,DIV,
2014-08-12,TATA POW,,,186.25,DIV,
2014-08-12,CROM GREAVES,,,200,DIV,
2014-08-01,L&T FIN,,,525,DIV,
2014-09-29,ALOK,1000,12.35,,SOLD,
2014-09-25,ADANI POWER,1000,45.5,,~350,
2014-09-25,CAN BANK,140,365,,X,
2014-09-25,L&T,60,1443.88,,~40,
2014-09-25,TATA MOTORS,100,513.6,,~30,
2014-09-25,VOLTAS,150,226,,X,
2014-09-01,TATA ST,100,505.75,,X,
2014-09-01,TATA POW,560,88.7,,,
2014-09-01,CENTURY,40,620.7,,X,
2014-09-01,HUL,25,738,,SOLD,
2014-09-01,EICHER,5,9799,,~1,
2014-08-20,VOLTAS,150,240,,SOLD,
2014-08-05,LIC,150,288,,,
2014-08-05,IDEA,200,163,,SOLD,
2014-07-10,HINDAL,200,182,,SOLD,
2014-07-03,HUL,,,375,DIV,
2014-07-03,TCS,,,400,DIV,
2014-07-03,HIND ZINC,,,285,DIV,
2014-06-24,ASHOK,250,37,,SOLD,
2014-06-24,ASHOK,250,35,,SOLD,
2014-06-19,SBI,,,900,DIV,
2014-06-04,TCS,10,2300,,SOLD,
2014-06-04,TCS,10,2270,,SOLD,
2014-06-04,ONGC,60,413.33,,,
