Date,Stock,Qty,UnitPrice,Type,Brokerage,Notes,Amount
2013-07-16,ALOK,1000,7.1,SOLD,,,
2013-07-16,BALRAM,550,41.24,SOLD,,,
2013-07-16,MTNL,170,17,SOLD,,,
2013-07-16,SAIL,550,47.164,SOLD,,,
2013-07-18,TATA MOTORS,30,283,,,,
2013-07-25,MARUTI,25,1410,,,,
2013-07-25,ASHOK,1000,14.4,SOLD,,,
2013-07-25,GAIL,100,334,SOLD,,,
2013-07-25,GVK POWER,130,7,SOLD,,,
2013-07-25,SUZLON,1230,7.75,SOLD,,,
2013-07-31,TCS,7,1825,SOLD,,,
2013-08-01,M&M,15,872,,,,
2013-08-01,SBI,150,168,,,,
2013-08-05,LIC,200,169.5,,,,
2013-08-05,BHEL,310,127,SOLD,,,
2013-08-12,L&T FIN,100,57.5,,,,
2013-08-12,TATA ST,170,234.87,SOLD,,,
2013-08-14,TATA ST,100,251.9,,,,
2013-08-14,TATA MOTORS,20,315,SOLD,,,
2013-08-16,CAN BANK,150,232.388,,,,
2013-08-16,L&T,5,0,,,,
2013-08-16,L&T,20,764.75,,,,
2013-08-16,LIC,150,170.5,,,,
2013-08-16,SBI,250,157.4,,,,
2013-08-24,TECHM,22,1325,SOLD,,,
2013-08-27,TCS,5,1870,SOLD,,,
2013-08-28,HDFCBANK,50,569.825,,,,
2013-09-10,TATA MOTORS,10,344.2,SOLD,,,
2013-09-12,HPCL,200,185.5,,,,
2013-09-20,GAIL,100,332.1,SOLD,,,
2013-09-21,TECHM,20,1330,SOLD,,,
2013-10-01,TECHM,10,1385.5,SOLD,,,
2013-10-02,HIND ZINC,180,134.34,SOLD,,,
2013-10-03,L&T FIN,100,78.5,SOLD,,,
2013-10-04,TATA ST,100,310,SOLD,,,
2013-10-05,HIND ZINC,100,135,SOLD,,,
2013-10-06,MARUTI,10,1644,SOLD,,,
2013-10-07,HDFCBANK,20,686,SOLD,,,
2013-11-01,CAN BANK,50,260,SOLD,,,
2013-11-02,AND BANK,200,68.5,SOLD,,,
2013-11-03,CAN BANK,100,280,SOLD,,,
2013-11-04,HPCL,100,220,SOLD,,,
2013-11-05,SBI,100,190,SOLD,,,
2013-11-06,HUL,50,587.8,,,,
2013-11-07,SBI,100,180.5,,,,
2013-11-08,IDEA,150,162,,,,
2013-11-09,TATA ST,40,356,SOLD,,,
2013-11-13,TATA MOTORS,75,377,,,,
2013-11-26,VOLTAS,250,95.78,SOLD,,,
2013-11-28,L&T FIN,150,73.3,,,,
2013-11-28,L&T,25,1025,SOLD,,,
2013-12-09,ONGC,30,305,SOLD,,,
2013-12-10,L&T,25,1149.2,SOLD,,,
2013-12-12,TATA MOTORS,75,363,,,,
2013-12-20,HIND ZINC,50,135,SOLD,,,
2013-12-20,MARUTI,10,1810,SOLD,,,
2014-01-29,HIND ZINC,200,127,,,,
2014-01-29,IDEA,100,139.5,,,,
2014-01-29,TATA ST,100,365.95,,,,
2014-03-10,HDFCBANK,30,732,SOLD,,,
2014-03-10,HPCL,150,290,SOLD,,,
2014-03-10,LIC,350,230,SOLD,,,
2014-03-10,M&M,15,1020,SOLD,,,
2014-04-01,ADANI POWER,250,48,SOLD,,,
2014-04-01,POWERG,100,108,SOLD,,,
2014-04-10,ADANI POWER,250,58,SOLD,,,
2014-04-10,ASHOK,400,25,SOLD,,,
2014-04-10,MARUTI,5,1960,SOLD,,,
2014-05-07,HPCL,100,348,SOLD,,,
2014-05-09,HPCL,100,364,SOLD,,,
2014-05-09,LIC,150,277,SOLD,,,
2014-05-09,SBI,250,214.9,SOLD,,,
2014-05-09,TATA MOTORS,100,428,SOLD,,,
2014-05-09,TATA ST,100,416,SOLD,,,
2014-05-12,ASHOK,250,26,SOLD,,,
2014-05-12,LIC,100,286,SOLD,,,
2014-05-12,TATA MOTORS,50,444,SOLD,,,
2014-05-13,LIC,100,300,SOLD,,,
2014-05-13,VOLTAS,150,175,SOLD,,,
2014-05-14,CAN BANK,50,335,SOLD,,,
2014-05-16,ADANI POWER,600,57.13,,,,
2014-05-19,ONGC,100,400,,,,
2014-05-19,TCS,20,2025.1,,,,
2014-05-19,ASHOK,550,29,SOLD,,,
2014-05-19,HIND ZINC,100,143,SOLD,,,
2014-05-19,TATA POW,100,97.5,SOLD,,,
2014-05-19,VOLTAS,100,203,SOLD,,,
2014-05-27,HIND ZINC,150,165,SOLD,,,
2014-05-27,TATA POW,100,107,SOLD,,,
2014-06-04,CROM GREAVES,200,197,,,,
2014-06-04,HPCL,150,396.67,,,,
2014-06-04,IDEA,250,136,,,,
2014-06-04,ONGC,60,413.33,,,,
2014-06-04,CROM GREAVES,100,211.6,SOLD,,,
2014-06-04,HINDAL,220,161,SOLD,,,
2014-06-04,ONGC,50,461,SOLD,,,
2014-06-04,TCS,10,2270,SOLD,,,
2014-06-04,VOLTAS,100,206,SOLD,,,
2014-06-24,TCS,10,2300,SOLD,,,
2014-06-24,ASHOK,250,34.8,SOLD,,,
2014-07-07,ASHOK,250,37.2,SOLD,,,
2014-07-10,HINDAL,200,182,SOLD,,,
2014-08-05,LIC,150,288,,,,
2014-08-05,IDEA,200,163,SOLD,,,
2014-08-20,VOLTAS,150,240.3,SOLD,,,
2014-09-01,CENTURY,40,620.7,,,,
2014-09-01,EICHER,5,9799.2,,,,
2014-09-01,TATA POW,560,88.7,,,,
2014-09-01,TATA ST,100,505.75,,,,
2014-09-01,HUL,25,738,SOLD,,,
2014-09-25,ADANI POWER,1000,45.5,,,,
2014-09-25,CAN BANK,140,365,,,,
2014-09-25,L&T,60,1443.88,,,,
